CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
DANVERS	725	2538.89	4151	14536.44	17.47%
DARTMOUTH	386	1048.36	4084	11091.97	9.45%
DEDHAM	399	1470.98	2967	10938.32	13.45%
DEERFIELD	10	187.53	343	6432.19	2.92%
DENNIS	96	725.97	1197	9051.99	8.02%
DIGHTON	67	853.96	687	8756.31	9.75%
DOUGLAS	46	489.38	595	6330.02	7.73%
DOVER	18	345.41	319	6121.44	5.64%
DRACUT	459	1420.82	4229	13090.73	10.85%
DUDLEY	93	750.98	772	6233.92	12.05%
DUNSTABLE	10	300.12	232	6962.68	4.31%
DUXBURY	111	733.48	1570	10374.45	7.07%
EAST BRIDGEWATER	177	1199.48	1383	9372.21	12.80%
EAST BROOKFIELD	14	624.60	122	5442.91	11.48%
EAST LONGMEADOW	271	1602.17	1661	9819.97	16.32%
EASTHAM	10	215.22	350	7532.73	2.86%
EASTHAMPTON	83	511.92	1272	7845.30	6.53%
EASTON	269	1135.10	2309	9743.33	11.65%
EDGARTOWN	7	170.66	625	15237.86	1.12%
EGREMONT	5	456.27	68	6205.30	7.35%
ERVING	6	286.53	132	6303.62	4.55%
ESSEX	24	645.04	260	6987.96	9.23%
EVERETT	1747	3599.36	6774	13956.54	25.79%
FAIRHAVEN	240	1497.14	2268	14147.99	10.58%
FALL RIVER	1566	1750.75	12348	13804.80	12.68%
FALMOUTH	201	643.17	3503	11209.08	5.74%
FITCHBURG	786	1864.65	5768	13683.59	13.63%
FLORIDA	<5	NA	36	4586.13	NA
FOXBOROUGH	112	618.35	1467	8099.23	7.63%
FRAMINGHAM	1720	2309.77	8929	11990.66	19.26%
FRANKLIN	132	390.39	2261	6686.94	5.84%
FREETOWN	97	1072.03	820	9062.49	11.83%
GARDNER	193	965.49	3519	17603.90	5.48%
GEORGETOWN	56	626.83	609	6816.77	9.20%
GILL	<5	NA	79	4742.02	NA
GLOUCESTER	257	897.82	2225	7772.94	11.55%
GOSHEN	<5	NA	26	2266.17	NA
GOSNOLD	0	0	0	0	0%
GRAFTON	94	471.31	1377	6904.22	6.83%
GRANBY	28	455.91	350	5698.92	8.00%
GRANVILLE	10	642.55	116	7453.55	8.62%
GREAT BARRINGTON	72	1059.49	1054	15509.71	6.83%
GREENFIELD	201	1157.54	1832	10550.31	10.97%
GROTON	43	369.24	872	7487.91	4.93%
GROVELAND	33	482.90	537	7858.16	6.15%
HADLEY	43	747.78	596	10364.60	7.21%
HALIFAX	56	732.85	665	8702.60	8.42%
HAMILTON	36	481.67	525	7024.34	6.86%
HAMPDEN	96	1943.01	454	9188.83	21.15%
HANCOCK	<5	NA	14	2154.16	NA
HANOVER	74	516.59	1107	7727.84	6.68%
HANSON	108	1008.71	932	8704.81	11.59%
HARDWICK	9	271.78	171	5163.85	5.26%
HARVARD	18	259.84	356	5139.07	5.06%
HARWICH	123	979.06	1304	10379.62	9.43%
HATFIELD	17	523.54	237	7298.74	7.17%
HAVERHILL	1217	1848.26	8413	12776.87	14.47%
HAWLEY	0	0	5	1706.94	0%
HEATH	0	0	25	4143.52	0%
HINGHAM	275	1156.06	2270	9542.75	12.11%
HINSDALE	<5	NA	177	8322.87	NA
HOLBROOK	193	1708.71	1259	11146.48	15.33%
HOLDEN	119	630.93	1896	10052.54	6.28%
HOLLAND	8	312.46	111	4335.40	7.21%
HOLLISTON	56	406.25	1101	7987.26	5.09%
HOLYOKE	905	2196.37	5329	12933.08	16.98%
HOPEDALE	42	739.56	661	11639.33	6.35%
HOPKINTON	121	741.67	1397	8562.97	8.66%
HUBBARDSTON	6	128.74	314	6737.17	1.91%
HUDSON	191	911.85	1755	8378.49	10.88%
HULL	50	506.25	806	8160.79	6.20%
HUNTINGTON	14	633.09	153	6918.79	9.15%
IPSWICH	71	528.00	1220	9072.71	5.82%
KINGSTON	136	1002.70	1327	9783.69	10.25%
LAKEVILLE	59	522.55	895	7926.89	6.59%
LANCASTER	100	1167.16	706	8240.15	14.16%
LANESBOROUGH	8	262.63	205	6729.85	3.90%
LAWRENCE	3515	3986.35	14691	16661.01	23.93%
LEE	19	323.14	545	9269.02	3.49%
LEICESTER	151	1340.57	1105	9810.12	13.67%
LENOX	13	266.47	755	15475.65	1.72%
LEOMINSTER	680	1675.20	5648	13914.05	12.04%
LEVERETT	<5	NA	124	6139.02	NA
LEXINGTON	321	942.87	2579	7575.24	12.45%
LEYDEN	0	0	10	1594.79	0%
LINCOLN	38	439.16	658	7604.33	5.78%
LITTLETON	98	1008.42	799	8221.69	12.27%
LONGMEADOW	214	1379.78	1385	8929.87	15.45%
LOWELL	2854	2442.27	18501	15831.94	15.43%
LUDLOW	124	594.32	1835	8795.04	6.76%
LUNENBURG	62	595.76	977	9387.99	6.35%
LYNN	3604	3571.74	14107	13980.72	25.55%
LYNNFIELD	93	798.35	1125	9657.48	8.27%
MALDEN	1222	1803.59	7793	11501.95	15.68%
MANCHESTER	20	404.34	290	5862.88	6.90%
MANSFIELD	163	689.62	1988	8410.85	8.20%
MARBLEHEAD	228	1186.41	1975	10277.05	11.54%
MARION	13	280.14	585	12606.38	2.22%
MARLBOROUGH	984	2265.24	5461	12571.64	18.02%
MARSHFIELD	168	649.66	2095	8101.46	8.02%
MASHPEE	63	409.68	1497	9734.77	4.21%
MATTAPOISETT	35	605.39	511	8838.65	6.85%
MAYNARD	70	670.84	967	9267.23	7.24%
MEDFIELD	36	315.78	848	7438.35	4.25%
MEDFORD	1020	1677.23	7225	11880.41	14.12%
MEDWAY	118	902.14	987	7545.91	11.96%
MELROSE	242	836.73	2731	9442.58	8.86%
MENDON	30	517.86	408	7042.83	7.35%
MERRIMAC	36	563.38	544	8513.36	6.62%
METHUEN	1004	1874.85	6519	12173.45	15.40%
MIDDLEBOROUGH	264	980.62	2654	9858.17	9.95%
MIDDLEFIELD	0	0	12	2645.16	0%
MIDDLETON	163	1579.56	1022	9903.76	15.95%
MILFORD	641	2187.47	3480	11875.82	18.42%
MILLBURY	210	1537.66	1424	10426.82	14.75%
MILLIS	48	607.93	636	8055.01	7.55%
MILLVILLE	19	535.10	233	6561.98	8.15%
MILTON	300	1047.86	2381	8316.53	12.60%
MONROE	0	0	6	6039.47	0%
MONSON	36	426.78	528	6259.44	6.82%
MONTAGUE	28	327.54	713	8340.59	3.93%
MONTEREY	0	0	53	5680.26	0%
MONTGOMERY	<5	NA	12	1355.17	NA
MOUNT WASHINGTON	0	0	2	1475.43	0%
NAHANT	40	1222.52	333	10177.51	12.01%
NANTUCKET	13	114.64	970	8554.17	1.34%
NATICK	413	1149.70	3021	8409.76	13.67%
NEEDHAM	329	1122.40	2664	9088.37	12.35%
NEW ASHFORD	0	0	8	4407.64	0%
NEW BEDFORD	2095	2104.36	13668	13729.08	15.33%
NEW BRAINTREE	<5	NA	54	5100.36	NA
NEW MARLBOROUGH	7	457.53	64	4183.12	10.94%
NEW SALEM	<5	NA	65	6587.60	NA
NEWBURY	13	195.53	483	7264.60	2.69%
NEWBURYPORT	97	544.83	2008	11278.55	4.83%
NEWTON	767	836.17	8536	9305.82	8.99%
NORFOLK	27	218.70	1764	14288.24	1.53%
NORTH ADAMS	46	352.30	855	6548.19	5.38%
NORTH ANDOVER	340	1124.02	3535	11686.49	9.62%
NORTH ATTLEBOROUGH	252	834.02	2223	7357.27	11.34%
NORTH BROOKFIELD	16	344.33	297	6391.71	5.39%
NORTH READING	187	1130.95	1269	7674.74	14.74%
NORTHAMPTON	273	933.93	3120	10673.44	8.75%
NORTHBOROUGH	223	1628.83	1516	11073.12	14.71%
NORTHBRIDGE	311	1729.29	1837	10214.46	16.93%
NORTHFIELD	<5	NA	183	6144.54	NA
NORTON	133	669.59	1613	8120.66	8.25%
NORWELL	121	1130.32	891	8323.29	13.58%
NORWOOD	576	1912.84	3852	12792.14	14.95%
OAK BLUFFS	5	96.73	507	9808.58	0.99%
OAKHAM	7	331.31	127	6010.95	5.51%
ORANGE	40	490.03	719	8808.26	5.56%
ORLEANS	16	283.29	462	8179.89	3.46%
OTIS	<5	NA	94	5059.62	NA
OXFORD	80	580.44	1039	7538.46	7.70%
PALMER	48	403.55	862	7247.10	5.57%
PAXTON	33	666.77	352	7112.16	9.38%
PEABODY	976	1750.18	6028	10809.51	16.19%
PELHAM	<5	NA	87	6977.70	NA
PEMBROKE	92	492.69	1385	7417.06	6.64%
PEPPERELL	52	423.42	746	6074.46	6.97%
PERU	<5	NA	52	6184.56	NA
PETERSHAM	7	552.57	110	8683.29	6.36%
PHILLIPSTON	15	875.04	133	7758.69	11.28%
PITTSFIELD	174	392.97	4548	10271.50	3.83%
PLAINFIELD	<5	NA	38	6021.17	NA
PLAINVILLE	64	701.47	731	8012.10	8.76%
PLYMOUTH	598	963.96	6120	9865.23	9.77%
PLYMPTON	11	368.01	208	6958.66	5.29%
PRINCETON	6	183.92	260	7969.71	2.31%
PROVINCETOWN	22	838.46	604	23019.42	3.64%
QUINCY	1129	1116.27	9855	9743.89	11.46%
RANDOLPH	942	2752.86	4898	14313.68	19.23%
RAYNHAM	238	1593.35	1638	10966.02	14.53%
READING	296	1076.99	2488	9052.57	11.90%
REHOBOTH	62	491.44	806	6388.77	7.69%
REVERE	1748	2869.51	7812	12824.15	22.38%
RICHMOND	5	376.53	81	6099.84	6.17%
ROCHESTER	34	603.09	465	8248.20	7.31%
ROCKLAND	283	1569.05	1870	10367.90	15.13%
ROCKPORT	82	1251.11	525	8010.14	15.62%
ROWE	0	0	20	5841.54	0%
ROWLEY	58	939.49	580	9394.86	10.00%
ROYALSTON	<5	NA	77	6039.16	NA
RUSSELL	11	582.93	100	5299.33	11.00%
RUTLAND	53	588.30	664	7370.37	7.98%
SALEM	625	1388.32	4833	10735.58	12.93%
SALISBURY	52	588.20	733	8291.29	7.09%
SANDISFIELD	<5	NA	136	14559.40	NA
SANDWICH	94	446.87	1438	6836.31	6.54%
SAUGUS	556	1956.00	3434	12080.74	16.19%
SAVOY	<5	NA	34	5377.32	NA
SCITUATE	186	1026.40	1485	8194.68	12.53%
SEEKONK	82	585.62	944	6741.74	8.69%
SHARON	154	841.04	1501	8197.38	10.26%
SHEFFIELD	15	485.90	212	6867.45	7.08%
SHELBURNE	8	432.60	284	15357.38	2.82%
SHERBORN	14	364.84	255	6645.24	5.49%
SHIRLEY	177	2099.87	2392	28377.95	7.40%
SHREWSBURY	317	804.59	3362	8533.23	9.43%
SHUTESBURY	<5	NA	101	5751.28	NA
SOMERSET	201	1086.04	2428	13118.95	8.28%
SOMERVILLE	951	1242.51	12217	15961.92	7.78%
SOUTH HADLEY	144	795.62	1178	6508.60	12.22%
SOUTHAMPTON	30	499.54	379	6310.82	7.92%
SOUTHBOROUGH	41	421.69	743	7641.92	5.52%
SOUTHBRIDGE	163	967.75	1131	6714.86	14.41%
SOUTHWICK	51	520.76	684	6984.33	7.46%
SPENCER	49	425.34	876	7604.02	5.59%
SPRINGFIELD	2754	1739.37	16043	10132.44	17.17%
STERLING	120	1524.13	788	10008.45	15.23%
STOCKBRIDGE	14	802.96	175	10037.01	8.00%
STONEHAM	374	1676.83	2826	12670.40	13.23%
STOUGHTON	602	2176.62	3525	12745.16	17.08%
STOW	27	374.49	472	6546.69	5.72%
STURBRIDGE	42	402.22	482	4615.93	8.71%
SUDBURY	197	1100.32	1634	9126.51	12.06%
SUNDERLAND	9	236.75	221	5813.52	4.07%
SUTTON	50	556.51	619	6889.63	8.08%
SWAMPSCOTT	128	933.85	1653	12059.83	7.74%
SWANSEA	133	832.84	1732	10845.68	7.68%
TAUNTON	964	1683.00	6945	12124.91	13.88%
TEMPLETON	122	1366.03	890	9965.33	13.71%
TEWKSBURY	582	1890.18	3944	12809.08	14.76%
TISBURY	8	192.25	811	19488.88	0.99%
TOLLAND	<5	NA	9	2132.16	NA
TOPSFIELD	114	1950.74	634	10848.85	17.98%
TOWNSEND	35	382.56	672	7345.13	5.21%
TRURO	10	506.37	198	10026.19	5.05%
TYNGSBOROUGH	92	767.25	1154	9624.01	7.97%
TYRINGHAM	<5	NA	23	9160.44	NA
UPTON	24	265.46	462	5110.05	5.19%
UXBRIDGE	77	499.57	1022	6630.64	7.53%
WAKEFIELD	313	1159.05	3162	11709.02	9.90%
WALES	<5	NA	94	4932.08	NA
WALPOLE	232	895.73	2708	10455.31	8.57%
WALTHAM	1227	1840.70	6624	9937.07	18.52%
WARE	31	305.76	703	6933.78	4.41%
WAREHAM	211	880.97	2324	9703.22	9.08%
WARREN	22	405.76	269	4961.29	8.18%
WARWICK	0	0	48	6404.15	0%
WASHINGTON	<5	NA	29	6349.19	NA
WATERTOWN	388	1169.64	3325	10023.30	11.67%
WAYLAND	106	798.07	1205	9072.42	8.80%
WEBSTER	248	1442.61	1976	11494.38	12.55%
WELLESLEY	232	780.23	2127	7153.27	10.91%
WELLFLEET	<5	NA	251	9098.50	NA
WENDELL	0	0	60	8214.37	0%
WENHAM	19	364.96	253	4859.70	7.51%
WEST BOYLSTON	43	547.76	759	9668.55	5.67%
WEST BRIDGEWATER	142	1959.29	807	11134.85	17.60%
WEST BROOKFIELD	19	512.19	439	11834.23	4.33%
WEST NEWBURY	10	245.01	282	6909.22	3.55%
WEST SPRINGFIELD	362	1228.90	2686	9118.33	13.48%
WEST STOCKBRIDGE	5	418.16	93	7777.87	5.38%
WEST TISBURY	7	242.81	256	8879.74	2.73%
WESTBOROUGH	336	1783.23	1958	10391.58	17.16%
WESTFIELD	439	1055.84	3425	8237.45	12.82%
WESTFORD	139	600.71	1908	8245.70	7.29%
WESTHAMPTON	6	352.71	77	4526.39	7.79%
WESTMINSTER	32	436.43	642	8755.97	4.98%
WESTON	108	973.52	1167	10519.44	9.25%
WESTPORT	97	582.80	1482	8904.18	6.55%
WESTWOOD	126	854.85	1339	9084.51	9.41%
WEYMOUTH	715	1275.34	5841	10418.58	12.24%
WHATELY	5	340.12	46	3129.14	10.87%
WHITMAN	187	1212.73	1381	8956.02	13.54%
WILBRAHAM	223	1533.44	1262	8678.05	17.67%
WILLIAMSBURG	10	405.37	292	11836.92	3.42%
WILLIAMSTOWN	82	1112.81	720	9771.00	11.39%
WILMINGTON	327	1341.64	2234	9165.81	14.64%
WINCHENDON	88	818.86	1067	9928.69	8.25%
WINCHESTER	118	528.59	2085	9339.83	5.66%
WINDSOR	0	0	50	5853.47	0%
WINTHROP	253	1342.37	1906	10112.91	13.27%
WOBURN	621	1496.71	4445	10713.19	13.97%
WORCESTER	5165	2691.95	27250	14202.43	18.95%
WORTHINGTON	0	0	69	6507.37	0%
WRENTHAM	191	1694.09	1453	12887.52	13.15%
YARMOUTH	113	470.38	2037	8479.28	5.55%
UNKNOWN	259	NA	32193	NA	NA
STATE	102762	1475.03	790223	11342.72	13.00%
