CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
CONWAY	<5	NA	76	3920	NA
CUMMINGTON	<5	NA	43	5403	NA
DALTON	9	137.99	362	5550	2.50%
DANVERS	678	2374.3	3319	11623	20.40%
DARTMOUTH	312	847.38	2341	6358	13.30%
DEDHAM	340	1253.46	2023	7458	16.80%
DEERFIELD	8	150.02	202	3788	4.00%
DENNIS	85	642.79	717	5422	11.90%
DIGHTON	54	688.27	497	6335	10.90%
DOUGLAS	42	446.82	392	4170	10.70%
DOVER	18	345.41	187	3588	9.60%
DRACUT	433	1340.34	3093	9574	14.00%
DUDLEY	74	597.55	519	4191	14.30%
DUNSTABLE	10	300.12	137	4112	7.30%
DUXBURY	65	429.52	1096	7242	5.90%
EAST BRIDGEWATER	173	1172.37	1077	7299	16.10%
EAST BROOKFIELD	9	401.53	77	3435	11.70%
EAST LONGMEADOW	256	1513.49	1240	7331	20.60%
EASTHAM	10	215.22	172	3702	5.80%
EASTHAMPTON	79	487.25	808	4983	9.80%
EASTON	260	1097.13	1718	7249	15.10%
EDGARTOWN	7	170.66	174	4242	4.00%
EGREMONT	5	456.27	40	3650	12.50%
ERVING	6	286.53	89	4250	6.70%
ESSEX	22	591.29	170	4569	12.90%
EVERETT	1565	3224.38	5122	10553	30.60%
FAIRHAVEN	211	1316.24	1648	10280	12.80%
FALL RIVER	1218	1361.7	8741	9772	13.90%
FALMOUTH	178	569.57	2057	6582	8.70%
FITCHBURG	710	1684.35	4113	9757	17.30%
FLORIDA	<5	NA	27	3440	NA
FOXBOROUGH	105	579.7	1038	5731	10.10%
FRAMINGHAM	1625	2182.2	6988	9384	23.30%
FRANKLIN	120	354.9	1565	4629	7.70%
FREETOWN	83	917.3	567	6266	14.60%
GARDNER	178	890.45	2723	13622	6.50%
GEORGETOWN	52	582.06	433	4847	12.00%
GILL	<5	NA	44	2641	NA
GLOUCESTER	241	841.92	1462	5107	16.50%
GOSHEN	<5	NA	20	1743	NA
GOSNOLD	0	0	0	0	0.00%
GRAFTON	87	436.21	981	4919	8.90%
GRANBY	28	455.91	229	3729	12.20%
GRANVILLE	10	642.55	66	4241	15.20%
GREAT BARRINGTON	72	1059.49	680	10006	10.60%
GREENFIELD	191	1099.95	1174	6761	16.30%
GROTON	40	343.48	593	5092	6.70%
GROVELAND	29	424.37	364	5327	8.00%
HADLEY	42	730.39	423	7356	9.90%
HALIFAX	56	732.85	493	6452	11.40%
HAMILTON	30	401.39	255	3412	11.80%
HAMPDEN	67	1356.06	345	6983	19.70%
HANCOCK	<5	NA	9	1385	NA
HANOVER	61	425.83	726	5068	8.40%
HANSON	93	868.61	682	6370	13.60%
HARDWICK	7	211.39	125	3775	5.60%
HARVARD	17	245.4	195	2815	8.70%
HARWICH	117	931.3	779	6201	15.00%
HATFIELD	14	431.15	148	4558	9.50%
HAVERHILL	1104	1676.65	6336	9623	17.40%
HAWLEY	0	0	5	1707	0.00%
HEATH	0	0	17	2818	0.00%
HINGHAM	254	1067.78	1730	7273	14.70%
HINSDALE	<5	NA	94	4420	NA
HOLBROOK	186	1646.74	942	8340	19.70%
HOLDEN	93	493.08	1375	7290	6.80%
HOLLAND	8	312.46	67	2617	11.90%
HOLLISTON	56	406.25	699	5071	8.00%
HOLYOKE	804	1951.25	3139	7618	25.60%
HOPEDALE	39	686.74	361	6357	10.80%
HOPKINTON	115	704.9	974	5970	11.80%
HUBBARDSTON	5	107.28	201	4313	2.50%
HUDSON	170	811.59	1199	5724	14.20%
HULL	47	475.88	544	5508	8.60%
HUNTINGTON	14	633.09	104	4703	13.50%
IPSWICH	62	461.07	777	5778	8.00%
KINGSTON	127	936.34	1044	7697	12.20%
LAKEVILLE	55	487.13	624	5527	8.80%
LANCASTER	81	945.4	478	5579	16.90%
LANESBOROUGH	8	262.63	126	4136	6.30%
LAWRENCE	2939	3333.11	10172	11536	28.90%
LEE	16	272.12	370	6293	4.30%
LEICESTER	143	1269.55	836	7422	17.10%
LENOX	13	266.47	417	8547	3.10%
LEOMINSTER	575	1416.53	4122	10155	13.90%
LEVERETT	<5	NA	65	3218	NA
LEXINGTON	308	904.68	1830	5375	16.80%
LEYDEN	0	0	3	478	0.00%
LINCOLN	34	392.93	447	5166	7.60%
LITTLETON	100	1029	514	5289	19.50%
LONGMEADOW	202	1302.41	973	6273	20.80%
LOWELL	2581	2208.65	14027	12003	18.40%
LUDLOW	113	541.6	983	4711	11.50%
LUNENBURG	60	576.54	606	5823	9.90%
LYNN	3281	3251.63	10491	10397	31.30%
LYNNFIELD	89	764.01	754	6473	11.80%
MALDEN	1110	1638.29	5318	7849	20.90%
MANCHESTER	18	363.9	168	3396	10.70%
MANSFIELD	157	664.24	1434	6067	10.90%
MARBLEHEAD	221	1149.99	1229	6395	18.00%
MARION	13	280.14	445	9589	2.90%
MARLBOROUGH	918	2113.31	4181	9625	22.00%
MARSHFIELD	155	599.39	1481	5727	10.50%
MASHPEE	53	344.65	999	6496	5.30%
MATTAPOISETT	29	501.61	283	4895	10.20%
MAYNARD	71	680.43	632	6057	11.20%
MEDFIELD	34	298.24	530	4649	6.40%
MEDFORD	961	1580.22	4594	7994	20.90%
MEDWAY	109	833.34	701	5359	15.50%
MELROSE	233	805.61	1696	5864	13.70%
MENDON	27	466.07	255	4402	10.60%
MERRIMAC	33	516.44	370	5790	8.90%
METHUEN	905	1689.98	4711	8797	19.20%
MIDDLEBOROUGH	252	936.04	1996	7414	12.60%
MIDDLEFIELD	0	0	8	1763	0.00%
MIDDLETON	159	1540.8	753	7297	21.10%
MILFORD	609	2078.27	2809	9586	21.70%
MILLBURY	198	1449.8	1041	7622	19.00%
MILLIS	47	595.26	473	5991	9.90%
MILLVILLE	13	366.12	160	4506	8.10%
MILTON	291	1016.43	1662	5805	17.50%
MONROE	0	0	4	4026	0.00%
MONSON	33	391.22	321	3805	10.30%
MONTAGUE	25	292.45	435	5089	5.70%
MONTEREY	0	0	21	2251	0.00%
MONTGOMERY	<5	NA	9	1016	NA
MOUNT WASHINGTON	0	0	2	1475	0.00%
NAHANT	39	1191.96	238	7274	16.40%
NANTUCKET	13	114.64	559	4930	2.30%
NATICK	395	1099.59	2070	5762	19.10%
NEEDHAM	311	1060.99	1884	6427	16.50%
NEW ASHFORD	0	0	3	1653	0.00%
NEW BEDFORD	1756	1763.85	9121	9162	19.30%
NEW BRAINTREE	<5	NA	40	3778	NA
NEW MARLBOROUGH	6	392.17	36	2353	16.70%
NEW SALEM	0	0	40	4054	0.00%
NEWBURY	11	165.45	305	4587	3.60%
NEWBURYPORT	71	398.79	1146	6437	6.20%
NEWTON	745	812.19	5290	5767	14.10%
NORFOLK	24	194.4	406	3289	5.90%
NORTH ADAMS	46	352.3	567	4342	8.10%
NORTH ANDOVER	311	1028.15	2478	8192	12.60%
NORTH ATTLEBOROUGH	239	791	1632	5401	14.60%
NORTH BROOKFIELD	14	301.29	197	4240	7.10%
NORTH READING	183	1106.76	837	5062	21.90%
NORTHAMPTON	269	920.24	1924	6582	14.00%
NORTHBOROUGH	204	1490.05	1125	8217	18.10%
NORTHBRIDGE	300	1668.12	1399	7779	21.40%
NORTHFIELD	<5	NA	127	4264	NA
NORTON	121	609.18	1257	6328	9.60%
NORWELL	118	1102.3	682	6371	17.30%
NORWOOD	540	1793.29	3016	10016	17.90%
OAK BLUFFS	5	96.73	227	4392	2.20%
OAKHAM	<5	NA	86	4070	NA
ORANGE	39	477.78	505	6187	7.70%
ORLEANS	15	265.58	251	4444	6.00%
OTIS	<5	NA	50	2691	NA
OXFORD	63	457.1	735	5333	8.60%
PALMER	45	378.33	590	4960	7.60%
PAXTON	29	585.95	229	4627	12.70%
PEABODY	911	1633.62	4301	7713	21.20%
PELHAM	<5	NA	50	4010	NA
PEMBROKE	85	455.2	985	5275	8.60%
PEPPERELL	47	382.71	501	4079	9.40%
PERU	<5	NA	40	4757	NA
PETERSHAM	7	552.57	73	5763	9.60%
PHILLIPSTON	15	875.04	98	5717	15.30%
PITTSFIELD	169	381.68	3243	7324	5.20%
PLAINFIELD	<5	NA	27	4278	NA
PLAINVILLE	61	668.59	511	5601	11.90%
PLYMOUTH	526	847.89	4354	7018	12.10%
PLYMPTON	9	301.1	152	5085	5.90%
PRINCETON	<5	NA	161	4935	NA
PROVINCETOWN	22	838.46	245	9337	9.00%
QUINCY	1069	1056.95	6560	6486	16.30%
RANDOLPH	894	2612.58	3483	10179	25.70%
RAYNHAM	223	1492.93	1308	8757	17.00%
READING	276	1004.22	1623	5905	17.00%
REHOBOTH	54	428.03	550	4360	9.80%
REVERE	1582	2597	5778	9485	27.40%
RICHMOND	5	376.53	40	3012	12.50%
ROCHESTER	31	549.88	299	5304	10.40%
ROCKLAND	273	1513.6	1428	7917	19.10%
ROCKPORT	76	1159.56	345	5264	22.00%
ROWE	0	0	15	4381	0.00%
ROWLEY	34	550.73	328	5313	10.40%
ROYALSTON	<5	NA	53	4157	NA
RUSSELL	11	582.93	71	3763	15.50%
RUTLAND	47	521.7	460	5106	10.20%
SALEM	585	1299.46	3334	7406	17.50%
SALISBURY	50	565.57	489	5531	10.20%
SANDISFIELD	<5	NA	110	11776	NA
SANDWICH	88	418.36	969	4607	9.10%
SAUGUS	506	1780.1	2358	8295	21.50%
SAVOY	<5	NA	28	4428	NA
SCITUATE	147	811.19	1073	5921	13.60%
SEEKONK	74	528.48	642	4585	11.50%
SHARON	131	715.43	1042	5691	12.60%
SHEFFIELD	15	485.9	142	4600	10.60%
SHELBURNE	8	432.6	161	8706	5.00%
SHERBORN	13	338.78	130	3388	10.00%
SHIRLEY	167	1981.24	2198	26076	7.60%
SHREWSBURY	306	776.67	2310	5863	13.20%
SHUTESBURY	<5	NA	51	2904	NA
SOMERSET	187	1010.4	1839	9936	10.20%
SOMERVILLE	846	1105.33	6683	8732	12.70%
SOUTH HADLEY	134	740.37	851	4702	15.70%
SOUTHAMPTON	29	482.89	253	4213	11.50%
SOUTHBOROUGH	39	401.12	477	4906	8.20%
SOUTHBRIDGE	119	706.51	681	4043	17.50%
SOUTHWICK	47	479.92	412	4207	11.40%
SPENCER	46	399.3	596	5174	7.70%
SPRINGFIELD	2432	1536	11374	7184	21.40%
STERLING	114	1447.92	601	7633	19.00%
STOCKBRIDGE	14	802.96	120	6883	11.70%
STONEHAM	354	1587.16	1846	8277	19.20%
STOUGHTON	576	2082.61	2637	9534	21.80%
STOW	28	388.36	289	4008	9.70%
STURBRIDGE	34	325.61	319	3055	10.70%
SUDBURY	181	1010.95	1045	5837	17.30%
SUNDERLAND	9	236.75	128	3367	7.00%
SUTTON	47	523.12	419	4664	11.20%
SWAMPSCOTT	122	890.08	1043	7609	11.70%
SWANSEA	113	707.6	1184	7414	9.50%
TAUNTON	894	1560.79	5356	9351	16.70%
TEMPLETON	116	1298.85	618	6920	18.80%
TEWKSBURY	560	1818.73	3019	9805	18.50%
TISBURY	6	144.18	264	6344	2.30%
TOLLAND	<5	NA	7	1658	NA
TOPSFIELD	109	1865.18	433	7409	25.20%
TOWNSEND	30	327.91	401	4383	7.50%
TRURO	9	455.74	78	3950	11.50%
TYNGSBOROUGH	83	692.19	777	6480	10.70%
TYRINGHAM	<5	NA	14	5976	NA
UPTON	24	265.46	284	3141	8.50%
UXBRIDGE	65	421.71	682	4425	9.50%
WAKEFIELD	293	1084.99	2247	8321	13.00%
WALES	<5	NA	56	2938	NA
WALPOLE	224	864.84	1716	6625	13.10%
WALTHAM	1123	1684.68	4745	7118	23.70%
WARE	26	256.44	438	4320	5.90%
WAREHAM	200	835.05	1598	6672	12.50%
WARREN	18	331.98	159	2933	11.30%
WARWICK	0	0	30	4003	0.00%
WASHINGTON	<5	NA	17	3722	NA
WATERTOWN	358	1079.2	2234	6734	16.00%
WAYLAND	103	775.49	817	6151	12.60%
WEBSTER	163	948.17	1300	7562	12.50%
WELLESLEY	218	733.15	1347	4530	16.20%
WELLFLEET	5	181.25	112	4060	4.50%
WENDELL	0	0	30	4107	0.00%
WENHAM	19	364.96	159	3054	11.90%
WEST BOYLSTON	41	522.28	535	6815	7.70%
WEST BRIDGEWATER	140	1931.7	599	8265	23.40%
WEST BROOKFIELD	16	431.32	273	7359	5.90%
WEST NEWBURY	8	196.01	138	3381	5.80%
WEST SPRINGFIELD	334	1133.85	1947	6610	17.20%
WEST STOCKBRIDGE	<5	NA	45	3763	NA
WEST TISBURY	7	242.81	99	3434	7.10%
WESTBOROUGH	323	1714.24	1475	7828	21.90%
WESTFIELD	427	1026.97	2392	5753	17.90%
WESTFORD	132	570.46	1331	5752	9.90%
WESTHAMPTON	5	293.92	47	2763	10.60%
WESTMINSTER	29	395.52	419	5715	6.90%
WESTON	106	955.49	835	7527	12.70%
WESTPORT	75	450.62	949	5702	7.90%
WESTWOOD	120	814.15	959	6506	12.50%
WEYMOUTH	672	1198.64	4281	7636	15.70%
WHATELY	<5	NA	28	1905	NA
WHITMAN	178	1154.36	1028	6667	17.30%
WILBRAHAM	210	1444.05	879	6044	23.90%
WILLIAMSBURG	10	405.37	158	6405	6.30%
WILLIAMSTOWN	83	1126.38	554	7518	15.00%
WILMINGTON	314	1288.3	1607	6593	19.50%
WINCHENDON	81	753.72	695	6467	11.70%
WINCHESTER	106	474.83	1392	6236	7.60%
WINDSOR	0	0	28	3278	0.00%
WINTHROP	240	1273.4	1343	7126	17.90%
WOBURN	557	1342.46	3154	7602	17.70%
WORCESTER	4681	2439.69	20118	10485	23.30%
WORTHINGTON	0	0	40	3772	0.00%
WRENTHAM	186	1649.74	1217	10794	15.30%
YARMOUTH	107	445.4	1419	5907	7.50%
UNKNOWN	302	NA	27456	NA	NA
STATE TOTAL	94220	1352.42	552144	7925	17%
