CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
HUNTINGTON	14	633.09	112	5064.73	12.50%
IPSWICH	66	490.82	887	6596.30	7.44%
KINGSTON	131	965.84	1109	8176.42	11.81%
LAKEVILLE	55	487.13	688	6093.52	7.99%
LANCASTER	87	1015.43	540	6302.67	16.11%
LANESBOROUGH	8	262.63	153	5022.77	5.23%
LAWRENCE	3163	3587.15	11603	13158.92	27.26%
LEE	18	306.13	414	7041.06	4.35%
LEICESTER	147	1305.06	919	8158.83	16.00%
LENOX	13	266.47	605	12401.02	2.15%
LEOMINSTER	613	1510.15	4523	11142.57	13.55%
LEVERETT	<5	NA	71	3515.08	NA
LEXINGTON	316	928.18	1981	5818.75	15.95%
LEYDEN	0	0	3	478.44	0%
LINCOLN	36	416.04	483	5581.90	7.45%
LITTLETON	99	1018.71	578	5947.61	17.13%
LONGMEADOW	204	1315.30	1041	6711.91	19.60%
LOWELL	2671	2285.67	15517	13278.43	17.21%
LUDLOW	118	565.57	1408	6748.46	8.38%
LUNENBURG	60	576.54	698	6707.08	8.60%
LYNN	3430	3399.30	11580	11476.34	29.62%
LYNNFIELD	90	772.60	849	7288.17	10.60%
MALDEN	1151	1698.80	5922	8740.48	19.44%
MANCHESTER	19	384.12	191	3861.42	9.95%
MANSFIELD	158	668.47	1580	6684.68	10.00%
MARBLEHEAD	224	1165.60	1384	7201.74	16.18%
MARION	13	280.14	478	10300.60	2.72%
MARLBOROUGH	938	2159.35	4510	10382.37	20.80%
MARSHFIELD	157	607.13	1604	6202.74	9.79%
MASHPEE	54	351.15	1083	7042.59	4.99%
MATTAPOISETT	31	536.20	334	5777.12	9.28%
MAYNARD	69	661.26	708	6785.11	9.75%
MEDFIELD	35	307.01	588	5157.72	5.95%
MEDFORD	994	1634.48	5169	8499.63	19.23%
MEDWAY	113	863.92	765	5848.65	14.77%
MELROSE	239	826.36	1931	6676.53	12.38%
MENDON	27	466.07	297	5126.77	9.09%
MERRIMAC	34	532.08	411	6431.97	8.27%
METHUEN	939	1753.47	5277	9854.16	17.79%
MIDDLEBOROUGH	258	958.33	2158	8015.80	11.96%
MIDDLEFIELD	0	0	9	1983.87	0%
MIDDLETON	160	1550.49	824	7985.03	19.42%
MILFORD	617	2105.57	2945	10050.08	20.95%
MILLBURY	205	1501.05	1160	8493.76	17.67%
MILLIS	47	595.26	519	6573.19	9.06%
MILLVILLE	15	422.45	180	5069.34	8.33%
MILTON	295	1030.40	1820	6357.02	16.21%
MONROE	0	0	4	4026.32	0%
MONSON	34	403.07	370	4386.35	9.19%
MONTAGUE	25	292.45	477	5579.89	5.24%
MONTEREY	0	0	25	2679.37	0%
MONTGOMERY	<5	NA	9	1016.38	NA
MOUNT WASHINGTON	0	0	2	1475.43	0%
NAHANT	39	1191.96	259	7915.84	15.06%
NANTUCKET	13	114.64	629	5546.98	2.07%
NATICK	412	1146.91	2315	6444.42	17.80%
NEEDHAM	318	1084.87	2062	7034.62	15.42%
NEW ASHFORD	0	0	5	2754.78	0%
NEW BEDFORD	1910	1918.54	10970	11019.02	17.41%
NEW BRAINTREE	<5	NA	42	3966.95	NA
NEW MARLBOROUGH	6	392.17	44	2875.89	13.64%
NEW SALEM	<5	NA	47	4763.34	NA
NEWBURY	13	195.53	334	5023.55	3.89%
NEWBURYPORT	81	454.96	1275	7161.43	6.35%
NEWTON	760	828.54	6023	6566.18	12.62%
NORFOLK	24	194.40	1591	12886.95	1.51%
NORTH ADAMS	46	352.30	649	4970.50	7.09%
NORTH ANDOVER	326	1077.74	2762	9131.00	11.80%
NORTH ATTLEBOROUGH	248	820.78	1794	5937.45	13.82%
NORTH BROOKFIELD	14	301.29	216	4648.52	6.48%
NORTH READING	184	1112.81	944	5709.18	19.49%
NORTHAMPTON	269	920.24	2143	7331.15	12.55%
NORTHBOROUGH	220	1606.92	1227	8962.22	17.93%
NORTHBRIDGE	304	1690.36	1486	8262.76	20.46%
NORTHFIELD	<5	NA	137	4600.01	NA
NORTON	126	634.35	1352	6806.66	9.32%
NORWELL	119	1111.64	734	6856.67	16.21%
NORWOOD	563	1869.67	3309	10988.88	17.01%
OAK BLUFFS	5	96.73	268	5184.81	1.87%
OAKHAM	6	283.98	107	5064.34	5.61%
ORANGE	39	477.78	564	6909.40	6.91%
ORLEANS	16	283.29	288	5099.15	5.56%
OTIS	<5	NA	55	2960.41	NA
OXFORD	67	486.12	831	6029.32	8.06%
PALMER	45	378.33	643	5405.90	7.00%
PAXTON	31	626.36	259	5233.10	11.97%
PEABODY	947	1698.18	4788	8585.92	19.78%
PELHAM	<5	NA	61	4892.41	NA
PEMBROKE	89	476.62	1092	5847.96	8.15%
PEPPERELL	49	398.99	561	4568.06	8.73%
PERU	<5	NA	41	4876.28	NA
PETERSHAM	7	552.57	83	6551.94	8.43%
PHILLIPSTON	15	875.04	106	6183.62	14.15%
PITTSFIELD	168	379.42	3639	8218.55	4.62%
PLAINFIELD	<5	NA	29	4595.10	NA
PLAINVILLE	64	701.47	563	6170.74	11.37%
PLYMOUTH	545	878.52	4758	7669.73	11.45%
PLYMPTON	9	301.10	166	5553.55	5.42%
PRINCETON	6	183.92	188	5762.72	3.19%
PROVINCETOWN	22	838.46	267	10175.81	8.24%
QUINCY	1107	1094.52	7170	7089.16	15.44%
RANDOLPH	912	2665.18	3917	11446.85	23.28%
RAYNHAM	227	1519.71	1415	9473.09	16.04%
READING	291	1058.80	1860	6767.59	15.65%
REHOBOTH	58	459.74	619	4906.51	9.37%
REVERE	1667	2736.54	6403	10511.14	26.03%
RICHMOND	5	376.53	49	3690.03	10.20%
ROCHESTER	33	585.36	339	6013.21	9.73%
ROCKLAND	284	1574.59	1534	8505.00	18.51%
ROCKPORT	76	1159.56	385	5874.10	19.74%
ROWE	0	0	16	4673.23	0%
ROWLEY	39	631.72	372	6025.67	10.48%
ROYALSTON	<5	NA	59	4627.41	NA
RUSSELL	11	582.93	81	4292.45	13.58%
RUTLAND	52	577.20	513	5694.28	10.14%
SALEM	607	1348.33	3727	8278.81	16.29%
SALISBURY	51	576.88	539	6096.87	9.46%
SANDISFIELD	<5	NA	116	12418.31	NA
SANDWICH	90	427.86	1083	5148.63	8.31%
SAUGUS	526	1850.46	2616	9203.04	20.11%
SAVOY	<5	NA	31	4902.85	NA
SCITUATE	173	954.67	1150	6346.05	15.04%
SEEKONK	76	542.77	725	5177.71	10.48%
SHARON	142	775.50	1140	6225.86	12.46%
SHEFFIELD	15	485.90	156	5053.40	9.62%
SHELBURNE	8	432.60	178	9625.40	4.49%
SHERBORN	13	338.78	154	4013.21	8.44%
SHIRLEY	173	2052.42	2254	26740.76	7.68%
SHREWSBURY	307	779.21	2563	6505.26	11.98%
SHUTESBURY	<5	NA	56	3188.83	NA
SOMERSET	197	1064.43	1982	10709.13	9.94%
SOMERVILLE	882	1152.36	7879	10294.18	11.19%
SOUTH HADLEY	137	756.94	924	5105.22	14.83%
SOUTHAMPTON	29	482.89	284	4728.96	10.21%
SOUTHBOROUGH	40	411.41	542	5574.59	7.38%
SOUTHBRIDGE	133	789.63	778	4619.06	17.10%
SOUTHWICK	48	490.13	462	4717.48	10.39%
SPENCER	48	416.66	672	5833.22	7.14%
SPRINGFIELD	2573	1625.06	12594	7954.12	20.43%
STERLING	114	1447.92	645	8192.19	17.67%
STOCKBRIDGE	14	802.96	130	7456.06	10.77%
STONEHAM	363	1627.51	2042	9155.33	17.78%
STOUGHTON	591	2136.85	2854	10319.06	20.71%
STOW	28	388.36	339	4701.96	8.26%
STURBRIDGE	36	344.76	357	3418.85	10.08%
SUDBURY	188	1050.05	1135	6339.41	16.56%
SUNDERLAND	9	236.75	144	3788.00	6.25%
SUTTON	51	567.64	479	5331.39	10.65%
SWAMPSCOTT	123	897.37	1152	8404.67	10.68%
SWANSEA	126	789.00	1350	8453.62	9.33%
TAUNTON	934	1630.62	5846	10206.22	15.98%
TEMPLETON	119	1332.44	681	7625.16	17.47%
TEWKSBURY	574	1864.20	3281	10655.83	17.49%
TISBURY	7	168.21	319	7665.78	2.19%
TOLLAND	<5	NA	8	1895.26	NA
TOPSFIELD	110	1882.29	471	8059.64	23.35%
TOWNSEND	30	327.91	460	5027.92	6.52%
TRURO	9	455.74	87	4405.45	10.34%
TYNGSBOROUGH	86	717.21	862	7188.82	9.98%
TYRINGHAM	<5	NA	17	6770.76	NA
UPTON	24	265.46	333	3683.22	7.21%
UXBRIDGE	67	434.69	765	4963.25	8.76%
WAKEFIELD	299	1107.21	2416	8946.55	12.38%
WALES	<5	NA	63	3305.55	NA
WALPOLE	227	876.42	2339	9030.64	9.71%
WALTHAM	1170	1755.19	5251	7877.34	22.28%
WARE	28	276.17	492	4852.66	5.69%
WAREHAM	208	868.45	1789	7469.48	11.63%
WARREN	19	350.43	185	3412.04	10.27%
WARWICK	0	0	38	5069.95	0%
WASHINGTON	<5	NA	22	4816.63	NA
WATERTOWN	367	1106.33	2455	7400.66	14.95%
WAYLAND	107	805.60	900	6776.08	11.89%
WEBSTER	189	1099.41	1517	8824.38	12.46%
WELLESLEY	223	749.97	1502	5051.34	14.85%
WELLFLEET	<5	NA	126	4567.38	NA
WENDELL	0	0	35	4791.72	0%
WENHAM	19	364.96	188	3611.16	10.11%
WEST BOYLSTON	41	522.28	578	7362.87	7.09%
WEST BRIDGEWATER	143	1973.09	656	9051.37	21.80%
WEST BROOKFIELD	17	458.27	345	9300.25	4.93%
WEST NEWBURY	8	196.01	166	4067.13	4.82%
WEST SPRINGFIELD	352	1194.96	2150	7298.74	16.37%
WEST STOCKBRIDGE	5	418.16	51	4265.28	9.80%
WEST TISBURY	7	242.81	112	3884.88	6.25%
WESTBOROUGH	333	1767.31	1598	8480.98	20.84%
WESTFIELD	428	1029.38	2621	6303.75	16.33%
WESTFORD	134	579.10	1469	6348.49	9.12%
WESTHAMPTON	5	293.92	51	2998.00	9.80%
WESTMINSTER	32	436.43	471	6423.77	6.79%
WESTON	106	955.49	913	8229.86	11.61%
WESTPORT	87	522.71	1091	6554.96	7.97%
WESTWOOD	122	827.72	1038	7042.36	11.75%
WEYMOUTH	682	1216.48	4635	8267.44	14.71%
WHATELY	<5	NA	33	2244.82	NA
WHITMAN	185	1199.76	1140	7393.10	16.23%
WILBRAHAM	216	1485.31	942	6477.59	22.93%
WILLIAMSBURG	10	405.37	183	7418.34	5.46%
WILLIAMSTOWN	83	1126.38	586	7952.51	14.16%
WILMINGTON	323	1325.23	1780	7303.11	18.15%
WINCHENDON	87	809.56	797	7416.27	10.92%
WINCHESTER	113	506.19	1526	6835.77	7.40%
WINDSOR	0	0	33	3863.29	0%
WINTHROP	245	1299.93	1492	7916.29	16.42%
WOBURN	586	1412.36	3471	8365.68	16.88%
WORCESTER	4910	2559.04	21914	11421.36	22.41%
WORTHINGTON	0	0	47	4432.56	0%
WRENTHAM	189	1676.35	1277	11326.47	14.80%
YARMOUTH	108	449.56	1555	6472.89	6.95%
UNKNOWN	271	NA	28433	NA	NA
STATE TOTAL	97964	1406.16	614133	8815.15	15.95%
