CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
GLOUCESTER	252	880.35	1803	6298.70	13.98%
GOSHEN	<5	NA	23	2004.69	NA
GOSNOLD	0	0	0	0	0%
GRAFTON	92	461.28	1189	5961.60	7.74%
GRANBY	28	455.91	286	4656.83	9.79%
GRANVILLE	10	642.55	87	5590.16	11.49%
GREAT BARRINGTON	72	1059.49	795	11698.50	9.06%
GREENFIELD	198	1140.26	1404	8085.50	14.10%
GROTON	40	343.48	714	6131.15	5.60%
GROVELAND	32	468.27	448	6555.78	7.14%
HADLEY	42	730.39	488	8486.45	8.61%
HALIFAX	56	732.85	579	7577.15	9.67%
HAMILTON	36	481.67	428	5726.51	8.41%
HAMPDEN	87	1760.86	379	7670.86	22.96%
HANCOCK	<5	NA	12	1846.42	NA
HANOVER	69	481.68	923	6443.36	7.48%
HANSON	103	962.01	794	7415.90	12.97%
HARDWICK	9	271.78	150	4529.69	6.00%
HARVARD	17	245.40	261	3767.69	6.51%
HARWICH	120	955.18	910	7243.45	13.19%
HATFIELD	16	492.74	189	5820.52	8.47%
HAVERHILL	1180	1792.07	7438	11296.13	15.86%
HAWLEY	0	0	5	1706.94	0%
HEATH	0	0	22	3646.30	0%
HINGHAM	265	1114.02	1946	8180.70	13.62%
HINSDALE	<5	NA	126	5924.76	NA
HOLBROOK	191	1691.01	1089	9641.40	17.54%
HOLDEN	111	588.52	1599	8477.86	6.94%
HOLLAND	8	312.46	86	3358.96	9.30%
HOLLISTON	56	406.25	863	6260.67	6.49%
HOLYOKE	877	2128.41	4205	10205.22	20.86%
HOPEDALE	40	704.35	451	7941.51	8.87%
HOPKINTON	120	735.54	1131	6932.51	10.61%
HUBBARDSTON	6	128.74	260	5578.54	2.31%
HUDSON	182	868.88	1474	7036.98	12.35%
HULL	49	496.13	670	6783.79	7.31%
HUNTINGTON	14	633.09	122	5516.94	11.48%
IPSWICH	70	520.57	972	7228.42	7.20%
KINGSTON	134	987.95	1178	8685.15	11.38%
LAKEVILLE	56	495.98	757	6704.65	7.40%
LANCASTER	101	1178.83	585	6827.89	17.26%
LANESBOROUGH	8	262.63	174	5712.17	4.60%
LAWRENCE	3339	3786.75	12588	14276.01	26.53%
LEE	19	323.14	449	7636.32	4.23%
LEICESTER	147	1305.06	987	8762.53	14.89%
LENOX	13	266.47	654	13405.40	1.99%
LEOMINSTER	658	1621.01	4921	12123.06	13.37%
LEVERETT	<5	NA	87	4307.21	NA
LEXINGTON	317	931.12	2152	6321.02	14.73%
LEYDEN	0	0	3	478.44	0%
LINCOLN	37	427.60	536	6194.41	6.90%
LITTLETON	99	1018.71	647	6657.61	15.30%
LONGMEADOW	208	1341.09	1116	7195.47	18.64%
LOWELL	2757	2359.26	16616	14218.88	16.59%
LUDLOW	119	570.36	1573	7539.29	7.57%
LUNENBURG	61	586.15	773	7427.76	7.89%
LYNN	3503	3471.64	12390	12279.09	28.27%
LYNNFIELD	93	798.35	934	8017.85	9.96%
MALDEN	1170	1726.84	6402	9448.93	18.28%
MANCHESTER	19	384.12	218	4407.27	8.72%
MANSFIELD	161	681.16	1729	7315.07	9.31%
MARBLEHEAD	225	1170.80	1511	7862.60	14.89%
MARION	13	280.14	508	10947.08	2.56%
MARLBOROUGH	952	2191.58	4775	10992.42	19.94%
MARSHFIELD	160	618.73	1763	6817.60	9.08%
MASHPEE	56	364.16	1188	7725.39	4.71%
MATTAPOISETT	34	588.09	401	6936.00	8.48%
MAYNARD	69	661.26	793	7599.70	8.70%
MEDFIELD	36	315.78	659	5780.51	5.46%
MEDFORD	1013	1665.72	5923	9739.47	17.10%
MEDWAY	118	902.14	838	6406.76	14.08%
MELROSE	241	833.27	2113	7305.81	11.41%
MENDON	30	517.86	340	5869.03	8.82%
MERRIMAC	35	547.73	449	7026.65	7.80%
METHUEN	970	1811.36	5696	10636.59	17.03%
MIDDLEBOROUGH	260	965.76	2309	8576.68	11.26%
MIDDLEFIELD	0	0	11	2424.73	0%
MIDDLETON	161	1560.18	880	8527.70	18.30%
MILFORD	631	2153.34	3145	10732.60	20.06%
MILLBURY	204	1493.73	1240	9079.53	16.45%
MILLIS	47	595.26	547	6927.82	8.59%
MILLVILLE	17	478.77	198	5576.28	8.59%
MILTON	297	1037.38	1972	6887.94	15.06%
MONROE	0	0	5	5032.90	0%
MONSON	34	403.07	421	4990.96	8.08%
MONTAGUE	25	292.45	525	6141.39	4.76%
MONTEREY	0	0	26	2786.54	0%
MONTGOMERY	<5	NA	10	1129.31	NA
MOUNT WASHINGTON	0	0	2	1475.43	0%
NAHANT	39	1191.96	286	8741.04	13.64%
NANTUCKET	13	114.64	718	6331.85	1.81%
NATICK	412	1146.91	2517	7006.74	16.37%
NEEDHAM	325	1108.75	2217	7563.41	14.66%
NEW ASHFORD	0	0	7	3856.69	0%
NEW BEDFORD	1991	1999.90	11972	12025.50	16.63%
NEW BRAINTREE	<5	NA	46	4344.75	NA
NEW MARLBOROUGH	7	457.53	52	3398.78	13.46%
NEW SALEM	<5	NA	52	5270.08	NA
NEWBURY	13	195.53	380	5715.42	3.42%
NEWBURYPORT	94	527.98	1519	8531.93	6.19%
NEWTON	767	836.17	6653	7253.00	11.53%
NORFOLK	25	202.50	1642	13300.05	1.52%
NORTH ADAMS	46	352.30	706	5407.04	6.52%
NORTH ANDOVER	337	1114.10	2924	9666.56	11.53%
NORTH ATTLEBOROUGH	248	820.78	1916	6341.22	12.94%
NORTH BROOKFIELD	15	322.81	254	5466.31	5.91%
NORTH READING	186	1124.90	1025	6199.06	18.15%
NORTHAMPTON	269	920.24	2413	8254.81	11.15%
NORTHBOROUGH	222	1621.53	1307	9546.55	16.99%
NORTHBRIDGE	308	1712.60	1607	8935.57	19.17%
NORTHFIELD	<5	NA	148	4969.36	NA
NORTON	130	654.49	1453	7315.14	8.95%
NORWELL	119	1111.64	771	7202.31	15.43%
NORWOOD	568	1886.28	3467	11513.59	16.38%
OAK BLUFFS	5	96.73	347	6713.17	1.44%
OAKHAM	6	283.98	113	5348.32	5.31%
ORANGE	40	490.03	618	7570.93	6.47%
ORLEANS	16	283.29	325	5754.25	4.92%
OTIS	<5	NA	67	3606.32	NA
OXFORD	73	529.65	899	6522.69	8.12%
PALMER	45	378.33	701	5893.52	6.42%
PAXTON	32	646.56	288	5819.04	11.11%
PEABODY	963	1726.87	5168	9267.34	18.63%
PELHAM	<5	NA	68	5453.83	NA
PEMBROKE	91	487.33	1199	6420.97	7.59%
PEPPERELL	50	407.14	638	5195.05	7.84%
PERU	<5	NA	46	5470.95	NA
PETERSHAM	7	552.57	90	7104.51	7.78%
PHILLIPSTON	15	875.04	117	6825.31	12.82%
PITTSFIELD	168	379.42	3930	8875.76	4.27%
PLAINFIELD	<5	NA	33	5228.91	NA
PLAINVILLE	64	701.47	645	7069.50	9.92%
PLYMOUTH	573	923.66	5115	8245.20	11.20%
PLYMPTON	9	301.10	175	5854.64	5.14%
PRINCETON	6	183.92	219	6712.95	2.74%
PROVINCETOWN	22	838.46	285	10861.81	7.72%
QUINCY	1112	1099.46	7766	7678.44	14.32%
RANDOLPH	926	2706.10	4220	12332.32	21.94%
RAYNHAM	232	1553.19	1500	10042.15	15.47%
READING	291	1058.80	2060	7495.29	14.13%
REHOBOTH	60	475.59	696	5516.85	8.62%
REVERE	1701	2792.35	6846	11238.37	24.85%
RICHMOND	5	376.53	59	4443.09	8.47%
ROCHESTER	34	603.09	380	6740.47	8.95%
ROCKLAND	288	1596.77	1650	9148.15	17.45%
ROCKPORT	78	1190.08	418	6377.59	18.66%
ROWE	0	0	18	5257.39	0%
ROWLEY	42	680.32	427	6916.56	9.84%
ROYALSTON	<5	NA	62	4862.70	NA
RUSSELL	11	582.93	87	4610.41	12.64%
RUTLAND	52	577.20	560	6215.98	9.29%
SALEM	615	1366.10	4077	9056.27	15.08%
SALISBURY	52	588.20	597	6752.94	8.71%
SANDISFIELD	<5	NA	122	13060.63	NA
SANDWICH	92	437.37	1186	5638.30	7.76%
SAUGUS	545	1917.30	2882	10138.82	18.91%
SAVOY	<5	NA	32	5061.01	NA
SCITUATE	177	976.74	1245	6870.29	14.22%
SEEKONK	80	571.33	797	5691.92	10.04%
SHARON	147	802.81	1237	6755.60	11.88%
SHEFFIELD	15	485.90	174	5636.49	8.62%
SHELBURNE	8	432.60	193	10436.53	4.15%
SHERBORN	13	338.78	172	4482.28	7.56%
SHIRLEY	174	2064.28	2306	27357.67	7.55%
SHREWSBURY	312	791.90	2779	7053.49	11.23%
SHUTESBURY	<5	NA	65	3701.32	NA
SOMERSET	201	1086.04	2190	11832.99	9.18%
SOMERVILLE	904	1181.11	9183	11997.89	9.84%
SOUTH HADLEY	142	784.57	1004	5547.23	14.14%
SOUTHAMPTON	29	482.89	313	5211.84	9.27%
SOUTHBOROUGH	41	421.69	608	6253.41	6.74%
SOUTHBRIDGE	150	890.56	982	5830.23	15.27%
SOUTHWICK	48	490.13	524	5350.57	9.16%
SPENCER	49	425.34	752	6527.65	6.52%
SPRINGFIELD	2650	1673.69	13811	8722.75	19.19%
STERLING	118	1498.73	689	8751.04	17.13%
STOCKBRIDGE	14	802.96	139	7972.25	10.07%
STONEHAM	367	1645.45	2210	9908.56	16.61%
STOUGHTON	597	2158.54	3100	11208.51	19.26%
STOW	28	388.36	374	5187.42	7.49%
STURBRIDGE	40	383.06	405	3878.53	9.88%
SUDBURY	191	1066.81	1249	6976.14	15.29%
SUNDERLAND	9	236.75	160	4208.89	5.63%
SUTTON	53	589.90	533	5932.43	9.94%
SWAMPSCOTT	127	926.56	1256	9163.43	10.11%
SWANSEA	129	807.79	1517	9499.36	8.50%
TAUNTON	951	1660.30	6267	10941.23	15.17%
TEMPLETON	121	1354.84	747	8364.16	16.20%
TEWKSBURY	575	1867.45	3474	11282.64	16.55%
TISBURY	7	168.21	435	10453.34	1.61%
TOLLAND	<5	NA	8	1895.26	NA
TOPSFIELD	111	1899.40	526	9000.78	21.10%
TOWNSEND	31	338.84	513	5607.22	6.04%
TRURO	9	455.74	100	5063.73	9.00%
TYNGSBOROUGH	89	742.23	968	8072.83	9.19%
TYRINGHAM	<5	NA	18	7169.04	NA
UPTON	24	265.46	373	4125.65	6.43%
UXBRIDGE	73	473.62	854	5540.67	8.55%
WAKEFIELD	307	1136.83	2610	9664.94	11.76%
WALES	<5	NA	76	3987.64	NA
WALPOLE	229	884.15	2458	9490.09	9.32%
WALTHAM	1190	1785.19	5648	8472.91	21.07%
WARE	30	295.89	548	5404.99	5.47%
WAREHAM	210	876.80	1970	8225.19	10.66%
WARREN	21	387.31	215	3965.35	9.77%
WARWICK	0	0	41	5470.21	0%
WASHINGTON	<5	NA	26	5692.38	NA
WATERTOWN	368	1109.35	2677	8069.89	13.75%
WAYLAND	106	798.07	1002	7544.04	10.58%
WEBSTER	204	1186.67	1657	9638.76	12.31%
WELLESLEY	228	766.78	1749	5882.02	13.04%
WELLFLEET	<5	NA	143	5183.61	NA
WENDELL	0	0	37	5065.53	0%
WENHAM	19	364.96	208	3995.32	9.13%
WEST BOYLSTON	43	547.76	630	8025.27	6.83%
WEST BRIDGEWATER	145	2000.68	713	9837.85	20.34%
WEST BROOKFIELD	17	458.27	391	10540.29	4.35%
WEST NEWBURY	8	196.01	189	4630.65	4.23%
WEST SPRINGFIELD	356	1208.53	2337	7933.56	15.23%
WEST STOCKBRIDGE	5	418.16	58	4850.71	8.62%
WEST TISBURY	7	242.81	147	5098.91	4.76%
WESTBOROUGH	335	1777.93	1710	9075.39	19.59%
WESTFIELD	430	1034.19	2901	6977.18	14.82%
WESTFORD	136	587.74	1600	6914.63	8.50%
WESTHAMPTON	5	293.92	56	3291.92	8.93%
WESTMINSTER	32	436.43	516	7037.51	6.20%
WESTON	108	973.52	974	8779.72	11.09%
WESTPORT	95	570.78	1236	7426.16	7.69%
WESTWOOD	122	827.72	1118	7585.13	10.91%
WEYMOUTH	690	1230.75	5022	8957.73	13.74%
WHATELY	5	340.12	39	2652.97	12.82%
WHITMAN	182	1180.30	1214	7873.00	14.99%
WILBRAHAM	219	1505.94	1076	7399.04	20.35%
WILLIAMSBURG	10	405.37	203	8229.09	4.93%
WILLIAMSTOWN	83	1126.38	612	8305.35	13.56%
WILMINGTON	325	1333.43	1923	7889.82	16.90%
WINCHENDON	87	809.56	896	8337.49	9.71%
WINCHESTER	112	501.71	1682	7534.58	6.66%
WINDSOR	0	0	36	4214.50	0%
WINTHROP	249	1321.15	1646	8733.39	15.13%
WOBURN	597	1438.87	3798	9153.81	15.72%
WORCESTER	5028	2620.54	23792	12400.15	21.13%
WORTHINGTON	0	0	55	5187.04	0%
WRENTHAM	189	1676.35	1334	11832.04	14.17%
YARMOUTH	110	457.89	1701	7080.64	6.47%
UNKNOWN	275	NA	29520	NA	NA
STATE TOTAL	100158	1437.65	668092	9589.67	15.00%
