CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
CUMMINGTON	<5	NA	57	7162.49	NA
DALTON	11	168.66	486	7451.54	2.26%
DANVERS	719	2517.88	3939	13794.04	18.25%
DARTMOUTH	379	1029.36	3851	10459.16	9.84%
DEDHAM	399	1470.98	2749	10134.63	14.51%
DEERFIELD	9	168.77	276	5175.76	3.26%
DENNIS	95	718.41	1055	7978.15	9.00%
DIGHTON	68	866.71	656	8361.19	10.37%
DOUGLAS	45	478.74	549	5840.64	8.20%
DOVER	18	345.41	269	5161.97	6.69%
DRACUT	456	1411.53	3937	12186.86	11.58%
DUDLEY	83	670.23	707	5709.04	11.74%
DUNSTABLE	10	300.12	206	6182.38	4.85%
DUXBURY	108	713.66	1461	9654.19	7.39%
EAST BRIDGEWATER	176	1192.70	1324	8972.39	13.29%
EAST BROOKFIELD	14	624.60	107	4773.70	13.08%
EAST LONGMEADOW	270	1596.26	1530	9045.48	17.65%
EASTHAM	10	215.22	258	5552.70	3.88%
EASTHAMPTON	82	505.75	1097	6765.95	7.47%
EASTON	269	1135.10	2156	9097.71	12.48%
EDGARTOWN	7	170.66	495	12068.38	1.41%
EGREMONT	5	456.27	56	5110.25	8.93%
ERVING	6	286.53	117	5587.30	5.13%
ESSEX	23	618.17	236	6342.91	9.75%
EVERETT	1724	3551.97	6365	13113.87	27.09%
FAIRHAVEN	240	1497.14	2140	13349.51	11.21%
FALL RIVER	1543	1725.04	11787	13177.61	13.09%
FALMOUTH	195	623.97	3156	10098.73	6.18%
FITCHBURG	776	1840.93	5433	12888.86	14.28%
FLORIDA	<5	NA	31	3949.16	NA
FOXBOROUGH	112	618.35	1370	7563.70	8.18%
FRAMINGHAM	1707	2292.31	8487	11397.11	20.11%
FRANKLIN	131	387.43	2107	6231.49	6.22%
FREETOWN	96	1060.97	757	8366.23	12.68%
GARDNER	190	950.48	3305	16533.36	5.75%
GEORGETOWN	55	615.64	552	6178.75	9.96%
GILL	<5	NA	72	4321.84	NA
GLOUCESTER	257	897.82	2008	7014.86	12.80%
GOSHEN	<5	NA	26	2266.17	NA
GOSNOLD	0	0	0	0	0
GRAFTON	94	471.31	1261	6322.60	7.45%
GRANBY	28	455.91	318	5177.88	8.81%
GRANVILLE	10	642.55	102	6553.98	9.80%
GREAT BARRINGTON	72	1059.49	855	12581.40	8.42%
GREENFIELD	200	1151.78	1545	8897.50	12.94%
GROTON	41	352.07	782	6715.07	5.24%
GROVELAND	32	468.27	487	7126.48	6.57%
HADLEY	42	730.39	546	9495.08	7.69%
HALIFAX	56	732.85	617	8074.44	9.08%
HAMILTON	36	481.67	471	6301.83	7.64%
HAMPDEN	91	1841.81	418	8460.20	21.77%
HANCOCK	<5	NA	14	2154.16	NA
HANOVER	70	488.66	1009	7043.71	6.94%
HANSON	105	980.69	864	8069.69	12.15%
HARDWICK	9	271.78	160	4831.67	5.63%
HARVARD	18	259.84	306	4417.29	5.88%
HARWICH	120	955.18	987	7856.36	12.16%
HATFIELD	17	523.54	213	6559.63	7.98%
HAVERHILL	1209	1836.11	7869	11950.69	15.36%
HAWLEY	0	0	5	1706.94	0
HEATH	0	0	22	3646.30	0
HINGHAM	269	1130.84	2102	8836.50	12.80%
HINSDALE	<5	NA	141	6630.08	NA
HOLBROOK	194	1717.57	1174	10393.94	16.52%
HOLDEN	115	609.73	1728	9161.81	6.66%
HOLLAND	8	312.46	96	3749.54	8.33%
HOLLISTON	56	406.25	989	7174.75	5.66%
HOLYOKE	899	2181.81	4673	11341.02	19.24%
HOPEDALE	41	721.96	634	11163.90	6.47%
HOPKINTON	121	741.67	1229	7533.21	9.85%
HUBBARDSTON	6	128.74	287	6157.86	2.09%
HUDSON	185	883.20	1590	7590.77	11.64%
HULL	50	506.25	732	7411.54	6.83%
HUNTINGTON	14	633.09	135	6104.81	10.37%
IPSWICH	71	528.00	1114	8284.42	6.37%
KINGSTON	136	1002.70	1238	9127.51	10.99%
LAKEVILLE	58	513.70	833	7377.77	6.96%
LANCASTER	101	1178.83	652	7609.89	15.49%
LANESBOROUGH	8	262.63	187	6138.94	4.28%
LAWRENCE	3443	3904.69	13689	15524.65	25.15%
LEE	20	340.15	491	8350.63	4.07%
LEICESTER	149	1322.81	1042	9250.81	14.30%
LENOX	13	266.47	701	14368.79	1.85%
LEOMINSTER	667	1643.18	5286	13022.25	12.62%
LEVERETT	<5	NA	102	5049.84	NA
LEXINGTON	322	945.80	2338	6867.36	13.77%
LEYDEN	0	0	5	797.40	0
LINCOLN	38	439.16	588	6795.36	6.46%
LITTLETON	99	1018.71	714	7347.04	13.87%
LONGMEADOW	213	1373.33	1250	8059.45	17.04%
LOWELL	2807	2402.05	17581	15044.67	15.97%
LUDLOW	124	594.32	1702	8157.58	7.29%
LUNENBURG	61	586.15	880	8455.92	6.93%
LYNN	3548	3516.24	13185	13066.97	26.91%
LYNNFIELD	93	798.35	1027	8816.20	9.06%
MALDEN	1211	1787.36	7115	10501.27	17.02%
MANCHESTER	20	404.34	252	5094.64	7.94%
MANSFIELD	163	689.62	1856	7852.39	8.78%
MARBLEHEAD	228	1186.41	1671	8695.17	13.64%
MARION	13	280.14	542	11679.76	2.40%
MARLBOROUGH	966	2223.81	5142	11837.28	18.79%
MARSHFIELD	164	634.20	1939	7498.20	8.46%
MASHPEE	60	390.17	1360	8843.88	4.41%
MATTAPOISETT	34	588.09	445	7697.06	7.64%
MAYNARD	69	661.26	870	8337.63	7.93%
MEDFIELD	36	315.78	764	6701.53	4.71%
MEDFORD	1014	1667.37	6499	10686.61	15.60%
MEDWAY	117	894.50	898	6865.48	13.03%
MELROSE	240	829.81	2394	8277.38	10.03%
MENDON	30	517.86	376	6490.45	7.98%
MERRIMAC	36	563.38	502	7856.07	7.17%
METHUEN	995	1858.04	6115	11419.03	16.27%
MIDDLEBOROUGH	263	976.90	2492	9256.42	10.55%
MIDDLEFIELD	0	0	11	2424.73	0
MIDDLETON	163	1579.56	951	9215.73	17.14%
MILFORD	636	2170.41	3318	11322.98	19.17%
MILLBURY	207	1515.70	1314	9621.37	15.75%
MILLIS	48	607.93	589	7459.75	8.15%
MILLVILLE	19	535.10	217	6111.38	8.76%
MILTON	299	1044.37	2168	7572.54	13.79%
MONROE	0	0	6	6039.47	0
MONSON	35	414.93	466	5524.43	7.51%
MONTAGUE	27	315.84	580	6784.77	4.66%
MONTEREY	0	0	32	3429.59	0
MONTGOMERY	<5	NA	10	1129.31	NA
MOUNT WASHINGTON	0	0	2	1475.43	0
NAHANT	40	1222.52	309	9443.99	12.94%
NANTUCKET	13	114.64	842	7425.37	1.54%
NATICK	412	1146.91	2769	7708.25	14.88%
NEEDHAM	328	1118.99	2400	8187.72	13.67%
NEW ASHFORD	0	0	8	4407.64	0
NEW BEDFORD	2052	2061.17	12908	12965.68	15.90%
NEW BRAINTREE	<5	NA	51	4817.01	NA
NEW MARLBOROUGH	7	457.53	59	3856.31	11.86%
NEW SALEM	<5	NA	58	5878.16	NA
NEWBURY	14	210.57	420	6317.04	3.33%
NEWBURYPORT	98	550.45	1809	10160.80	5.42%
NEWTON	765	833.99	7604	8289.76	10.06%
NORFOLK	25	202.50	1698	13753.64	1.47%
NORTH ADAMS	46	352.30	762	5835.93	6.04%
NORTH ANDOVER	339	1120.71	3229	10674.87	10.50%
NORTH ATTLEBOROUGH	249	824.09	2102	6956.81	11.85%
NORTH BROOKFIELD	16	344.33	273	5875.21	5.86%
NORTH READING	187	1130.95	1143	6912.71	16.36%
NORTHAMPTON	271	927.08	2674	9147.68	10.13%
NORTHBOROUGH	223	1628.83	1393	10174.71	16.01%
NORTHBRIDGE	310	1723.72	1716	9541.65	18.07%
NORTHFIELD	<5	NA	162	5439.43	NA
NORTON	132	664.56	1535	7727.97	8.60%
NORWELL	119	1111.64	832	7772.14	14.30%
NORWOOD	568	1886.28	3667	12177.77	15.49%
OAK BLUFFS	5	96.73	427	8260.88	1.17%
OAKHAM	7	331.31	123	5821.62	5.69%
ORANGE	40	490.03	663	8122.22	6.03%
ORLEANS	16	283.29	370	6551.00	4.32%
OTIS	<5	NA	81	4359.88	NA
OXFORD	79	573.18	966	7008.81	8.18%
PALMER	48	403.55	771	6482.03	6.23%
PAXTON	33	666.77	318	6425.19	10.38%
PEABODY	969	1737.62	5625	10086.84	17.23%
PELHAM	<5	NA	74	5935.05	NA
PEMBROKE	91	487.33	1286	6886.88	7.08%
PEPPERELL	52	423.42	693	5642.90	7.50%
PERU	<5	NA	49	5827.76	NA
PETERSHAM	7	552.57	102	8051.78	6.86%
PHILLIPSTON	15	875.04	126	7350.34	11.90%
PITTSFIELD	171	386.20	4200	9485.55	4.07%
PLAINFIELD	<5	NA	35	5545.81	NA
PLAINVILLE	64	701.47	691	7573.68	9.26%
PLYMOUTH	595	959.12	5705	9196.26	10.43%
PLYMPTON	11	368.01	193	6456.84	5.70%
PRINCETON	6	183.92	241	7387.31	2.49%
PROVINCETOWN	22	838.46	305	11624.05	7.21%
QUINCY	1120	1107.37	9012	8910.40	12.43%
RANDOLPH	938	2741.17	4650	13588.93	20.17%
RAYNHAM	237	1586.66	1593	10664.76	14.88%
READING	293	1066.08	2239	8146.58	13.09%
REHOBOTH	61	483.52	751	5952.81	8.12%
REVERE	1733	2844.89	7303	11988.58	23.73%
RICHMOND	5	376.53	68	5120.85	7.35%
ROCHESTER	34	603.09	424	7520.94	8.02%
ROCKLAND	281	1557.96	1758	9746.93	15.98%
ROCKPORT	82	1251.11	477	7277.78	17.19%
ROWE	0	0	19	5549.46	0
ROWLEY	54	874.69	502	8131.41	10.76%
ROYALSTON	<5	NA	67	5254.86	NA
RUSSELL	11	582.93	92	4875.38	11.96%
RUTLAND	52	577.20	607	6737.67	8.57%
SALEM	620	1377.21	4434	9849.28	13.98%
SALISBURY	52	588.20	662	7488.18	7.85%
SANDISFIELD	<5	NA	125	13381.80	NA
SANDWICH	93	442.13	1308	6218.29	7.11%
SAUGUS	553	1945.44	3136	11032.39	17.63%
SAVOY	<5	NA	32	5061.01	NA
SCITUATE	184	1015.37	1367	7543.52	13.46%
SEEKONK	81	578.48	879	6277.53	9.22%
SHARON	150	819.19	1346	7350.88	11.14%
SHEFFIELD	15	485.90	183	5928.03	8.20%
SHELBURNE	8	432.60	227	12275.09	3.52%
SHERBORN	13	338.78	196	5107.72	6.63%
SHIRLEY	175	2076.17	2345	27820.36	7.46%
SHREWSBURY	315	799.51	3015	7652.50	10.45%
SHUTESBURY	<5	NA	70	3986.03	NA
SOMERSET	200	1080.64	2310	12481.37	8.66%
SOMERVILLE	921	1203.32	10527	13753.88	8.75%
SOUTH HADLEY	142	784.57	1084	5989.24	13.10%
SOUTHAMPTON	30	499.54	354	5894.54	8.47%
SOUTHBOROUGH	41	421.69	662	6808.82	6.19%
SOUTHBRIDGE	156	926.19	1056	6269.58	14.77%
SOUTHWICK	49	500.34	615	6279.77	7.97%
SPENCER	49	425.34	816	7083.20	6.00%
SPRINGFIELD	2697	1703.37	14797	9345.49	18.23%
STERLING	119	1511.43	736	9347.99	16.17%
STOCKBRIDGE	14	802.96	154	8832.57	9.09%
STONEHAM	369	1654.42	2586	11594.36	14.27%
STOUGHTON	600	2169.39	3362	12155.81	17.85%
STOW	27	374.49	414	5742.22	6.52%
STURBRIDGE	42	402.22	434	4156.25	9.68%
SUDBURY	194	1083.56	1499	8372.48	12.94%
SUNDERLAND	9	236.75	177	4656.08	5.08%
SUTTON	53	589.90	568	6321.99	9.33%
SWAMPSCOTT	128	933.85	1523	11111.38	8.40%
SWANSEA	132	826.58	1628	10194.44	8.11%
TAUNTON	962	1679.51	6667	11639.57	14.43%
TEMPLETON	122	1366.03	822	9203.93	14.84%
TEWKSBURY	574	1864.20	3718	12075.09	15.44%
TISBURY	7	168.21	629	15115.29	1.11%
TOLLAND	<5	NA	9	2132.16	NA
TOPSFIELD	112	1916.52	581	9941.93	19.28%
TOWNSEND	32	349.77	594	6492.57	5.39%
TRURO	10	506.37	122	6177.75	8.20%	TYNGSBOROUGH	90	750.57	1041	8681.62	8.65%
TYRINGHAM	<5	NA	20	7965.60	NA
UPTON	24	265.46	406	4490.65	5.91%
UXBRIDGE	74	480.11	939	6092.15	7.88%
WAKEFIELD	309	1144.24	2899	10735.12	10.66%
WALES	<5	NA	80	4197.52	NA
WALPOLE	231	891.87	2564	9899.35	9.01%
WALTHAM	1218	1827.20	6114	9171.98	19.92%
WARE	31	305.76	625	6164.46	4.96%
WAREHAM	210	876.80	2158	9010.14	9.73%
WARREN	22	405.76	234	4315.77	9.40%
WARWICK	0	0	43	5737.05	0
WASHINGTON	<5	NA	27	5911.31	NA
WATERTOWN	384	1157.58	2994	9025.49	12.83%
WAYLAND	106	798.07	1100	8281.88	9.64%
WEBSTER	216	1256.47	1874	10901.05	11.53%
WELLESLEY	231	776.87	1957	6581.54	11.80%
WELLFLEET	<5	NA	156	5654.85	NA
WENDELL	0	0	43	5886.97	0
WENHAM	19	364.96	229	4398.70	8.30%
WEST BOYLSTON	43	547.76	672	8560.29	6.40%
WEST BRIDGEWATER	142	1959.29	762	10513.94	18.64%
WEST BROOKFIELD	18	485.23	406	10944.65	4.43%
WEST NEWBURY	10	245.01	224	5488.18	4.46%
WEST SPRINGFIELD	360	1222.11	2490	8452.95	14.46%
WEST STOCKBRIDGE	5	418.16	70	5854.31	7.14%
WEST TISBURY	7	242.81	194	6729.17	3.61%
WESTBOROUGH	336	1783.23	1820	9659.18	18.46%
WESTFIELD	433	1041.41	3139	7549.59	13.79%
WESTFORD	138	596.39	1734	7493.73	7.96%
WESTHAMPTON	5	293.92	65	3820.98	7.69%
WESTMINSTER	32	436.43	564	7692.16	5.67%
WESTON	108	973.52	1060	9554.93	10.19%
WESTPORT	96	576.79	1373	8249.28	6.99%
WESTWOOD	121	820.93	1219	8270.37	9.93%
WEYMOUTH	698	1245.02	5416	9660.51	12.89%
WHATELY	5	340.12	46	3129.14	10.87%
WHITMAN	186	1206.24	1302	8443.70	14.29%
WILBRAHAM	221	1519.69	1156	7949.15	19.12%
WILLIAMSBURG	10	405.37	228	9242.52	4.39%
WILLIAMSTOWN	82	1112.81	647	8780.33	12.67%
WILMINGTON	326	1337.54	2039	8365.75	15.99%
WINCHENDON	88	818.86	990	9212.18	8.89%
WINCHESTER	115	515.15	1824	8170.67	6.30%
WINDSOR	0	0	43	5033.99	0
WINTHROP	251	1331.76	1767	9375.40	14.20%
WOBURN	613	1477.43	4065	9797.32	15.08%
WORCESTER	5112	2664.32	25536	13309.11	20.02%
WORTHINGTON	0	0	63	5941.51	0
WRENTHAM	191	1694.09	1385	12284.39	13.79%
YARMOUTH	111	462.05	1831	7621.78	6.06%
UNKNOWN	274	NA	30733	NA	NA
STATE TOTAL	101654	1459.12	727549	10443.11	13.97%
