CITY.TOWN	CASE	RATE
NEWBURY	8	120.32
NEWBURYPORT	65	365.09
NEWTON	710	774.03
NORFOLK	22	178.20
NORTH ADAMS	47	359.96
NORTH ANDOVER	269	889.30
NORTH ATTLEBOROUGH	228	754.59
NORTH BROOKFIELD	13	279.77
NORTH READING	175	1058.38
NORTHAMPTON	254	868.93
NORTHBOROUGH	192	1402.40
NORTHBRIDGE	281	1562.47
NORTHFIELD	<5	NA
NORTON	120	604.14
NORWELL	116	1083.62
NORWOOD	513	1703.63
OAK BLUFFS	5	96.73
OAKHAM	<5	NA
ORANGE	35	428.77
ORLEANS	15	265.58
OTIS	<5	NA
OXFORD	52	377.29
PALMER	43	361.51
PAXTON	27	545.54
PEABODY	877	1572.65
PELHAM	<5	NA
PEMBROKE	80	428.42
PEPPERELL	44	358.28
PERU	<5	NA
PETERSHAM	7	552.57
PHILLIPSTON	15	875.04
PITTSFIELD	153	345.55
PLAINFIELD	0	0
PLAINVILLE	57	624.75
PLYMOUTH	487	785.03
PLYMPTON	8	267.64
PRINCETON	<5	NA
PROVINCETOWN	22	838.46
QUINCY	1019	1007.51
RANDOLPH	864	2524.91
RAYNHAM	218	1459.46
READING	270	982.39
REHOBOTH	49	388.40
REVERE	1506	2472.24
RICHMOND	5	376.53
ROCHESTER	26	461.19
ROCKLAND	262	1452.61
ROCKPORT	74	1129.05
ROWE	0	0
ROWLEY	34	550.73
ROYALSTON	<5	NA
RUSSELL	11	582.93
RUTLAND	43	477.30
SALEM	550	1221.72
SALISBURY	49	554.26
SANDISFIELD	<5	NA
SANDWICH	80	380.32
SAUGUS	480	1688.63
SAVOY	<5	NA
SCITUATE	131	722.90
SEEKONK	70	499.92
SHARON	125	682.66
SHEFFIELD	15	485.90
SHELBURNE	8	432.60
SHERBORN	11	286.66
SHIRLEY	158	1874.46
SHREWSBURY	291	738.60
SHUTESBURY	<5	NA
SOMERSET	136	734.83
SOMERVILLE	799	1043.92
SOUTH HADLEY	130	718.27
SOUTHAMPTON	29	482.89
SOUTHBOROUGH	40	411.41
SOUTHBRIDGE	108	641.21
SOUTHWICK	48	490.13
SPENCER	41	355.90
SPRINGFIELD	2186	1380.63
STERLING	101	1282.81
STOCKBRIDGE	14	802.96
STONEHAM	342	1533.36
STOUGHTON	557	2013.92
STOW	29	402.23
STURBRIDGE	33	316.03
SUDBURY	174	971.86
SUNDERLAND	8	210.44
SUTTON	46	511.99
SWAMPSCOTT	119	868.19
SWANSEA	90	563.57
TAUNTON	854	1490.95
TEMPLETON	110	1231.67
TEWKSBURY	543	1763.52
TISBURY	6	144.18
TOLLAND	<5	NA
TOPSFIELD	106	1813.85
TOWNSEND	29	316.98
TRURO	9	455.74
TYNGSBOROUGH	81	675.52
TYRINGHAM	<5	NA
UPTON	22	243.34
UXBRIDGE	64	415.23
WAKEFIELD	286	1059.07
WALES	<5	NA
WALPOLE	217	837.82
WALTHAM	1071	1606.67
WARE	25	246.58
WAREHAM	191	797.47
WARREN	16	295.10
WARWICK	0	0
WASHINGTON	<5	NA
WATERTOWN	347	1046.04
WAYLAND	97	730.31
WEBSTER	148	860.92
WELLESLEY	215	723.06
WELLFLEET	5	181.25
WENDELL	0	0
WENHAM	17	326.54
WEST BOYLSTON	37	471.33
WEST BRIDGEWATER	120	1655.74
WEST BROOKFIELD	16	431.32
WEST NEWBURY	6	147.00
WEST SPRINGFIELD	303	1028.61
WEST STOCKBRIDGE	<5	NA
WEST TISBURY	7	242.81
WESTBOROUGH	319	1693.01
WESTFIELD	416	1000.52
WESTFORD	130	561.81
WESTHAMPTON	<5	NA
WESTMINSTER	25	340.96
WESTON	103	928.45
WESTPORT	68	408.56
WESTWOOD	112	759.87
WEYMOUTH	647	1154.05
WHATELY	<5	NA
WHITMAN	174	1128.42
WILBRAHAM	195	1340.90
WILLIAMSBURG	10	405.37
WILLIAMSTOWN	81	1099.24
WILMINGTON	310	1271.89
WINCHENDON	74	688.59
WINCHESTER	102	456.91
WINDSOR	0	0
WINTHROP	229	1215.03
WOBURN	531	1279.80
WORCESTER	4299	2240.60
WORTHINGTON	0	0
WRENTHAM	182	1614.27
YARMOUTH	101	420.43
UNKNOWN1	284	NA
STATE TOTAL	88970	1277.06
